PDB ID,Metabolism,SourceSet,EnzymeFamily,SourceSetDetail
3HB3,Unknown,FeBinding_primary108,,FeBinding_primary108
3HDP,Detox / Carbon Stress,Ni_primary_expanded,Glyoxalase I (Ni-dependent lineages),Ni_primary_expanded
3I39,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
3LA4,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
3MYR,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
3O0R,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
3PCB,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
3RGW,Anaerobic Hydrogen Metabolism,FeBinding_primary108,,FE+NI_overlap
3S8F,Unknown,FeBinding_primary108,,FeBinding_primary108
3VB0,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
3ZFS,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
4AC7,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
4AQ6,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
4AU9,ROS Detox,FeBinding_primary108,,FeBinding_primary108
4CEU,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
4CEX,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
4E37,ROS Detox,FeBinding_primary108,,FeBinding_primary108
4G7E,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
4JCG,Nitrification,FeBinding_primary108,,FeBinding_primary108
4LM8,Anaerobic Metal Reduction,FeBinding_primary108,,FeBinding_primary108
4OMF,Anaerobic Methane,FeBinding_primary108,,FeBinding_primary108
4U9H,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
4UR0,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
4Z42,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
5A0Y,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
5A4M,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
5A6T,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
5A8K,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
5A8R,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
5A8W,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
5D7Z,Detox / Carbon Stress,Ni_primary_expanded,Glyoxalase I (Ni-dependent lineages),Ni_primary_expanded
